Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	proportionInvariant.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4	
8718000	-4610.120094122209	-4526.9563009404565	-83.16379318175247	-4526.9563009404565	7.141597276905699	42.22874242284613	28.751354741572687	13.477387681273452	2	9	36	23	0	1.460130965104274	0.39772578783873186	0.04603001188237049	0.5902149896650242	0.004003000812867198	0.4696227712248949	5.360531082164106	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8719000	-4614.483040662969	-4527.839521324238	-86.64351933873039	-4527.839521324238	7.054451962015036	44.34568418025807	32.408907610213184	11.936776570044877	0	8	37	22	0	1.335407910493378	0.41994709069809577	0.0494423707149287	0.4301064508122055	0.0035515366038768688	0.4696227712248949	5.360531082164106	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8720000	-4619.983331178779	-4529.552271840706	-90.43105933807263	-4529.552271840706	7.04375816724843	44.46401755067771	34.229214351069274	10.234803199608454	0	10	39	20	0	1.7884341190934587	0.4875041598136899	0.06849682150153365	1.30638310871042	0.003994280495680616	0.4696227712248949	5.360531082164106	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8721000	-4626.744835519332	-4532.546387012243	-94.19844850708917	-4532.546387012243	7.177301683626462	43.1114081119485	27.095844685140218	16.01556342680828	4	9	34	25	0	1.8215363487241016	0.6644972139613067	0.16354910710047657	0.7938615025506892	0.0046714934183207015	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8722000	-4617.061893862748	-4528.6514299250875	-88.41046393765976	-4528.6514299250875	7.098870362673842	40.695496063278824	27.994650092369614	12.70084597090921	3	9	35	24	0	1.8460607852525348	0.9290411940679061	0.04736383512196774	0.7833152593352972	0.004031462402261647	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8723000	-4611.660377539912	-4524.109957027141	-87.55042051277091	-4524.109957027141	7.260710396316374	41.02598232137018	26.12976993801152	14.896212383358677	5	9	33	26	0	1.537876970504773	0.6028060530587795	0.19017070074122497	0.36121000725891855	0.004191403301442795	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8724000	-4604.515748260415	-4518.264700823365	-86.25104743705059	-4518.264700823365	7.255686032211623	41.091042867395004	29.581284875202638	11.509757992192364	4	10	35	24	0	1.550639754249362	0.38103889880753966	0.188605470956895	0.5641766286832063	0.004138118502849369	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8725000	-4605.310733960192	-4520.113421196889	-85.19731276330303	-4520.113421196889	7.359558586497842	40.759028499856775	28.46206395015937	12.29696454969741	2	10	37	22	0	1.269973588565083	0.38194210425331404	0.2997624505636578	0.8855965978818905	0.0037967945264918064	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8726000	-4608.162977341799	-4518.285159271507	-89.87781807029229	-4518.285159271507	7.680357765535191	41.98737035944787	26.53786385702981	15.449506502418062	4	10	35	24	0	1.3083520551698045	0.7136933859418667	0.34834249695845126	0.8819447637703703	0.003839567036360902	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8727000	-4600.46652608852	-4515.658549013645	-84.80797707487572	-4515.658549013645	6.858481477540914	39.99744430623256	26.51729090929391	13.480153396938658	5	10	34	25	0	1.2051614698131883	0.49094130561766874	0.17930413239325965	0.881445392018111	0.003857564501723672	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8728000	-4599.1371119733585	-4518.985602406656	-80.15150956670257	-4518.985602406656	6.845726649067668	38.293063804853254	27.463064890563572	10.829998914289678	6	13	36	23	0	1.1975971754011296	0.3347234996008781	0.14706119813906907	0.8870128003172699	0.004152494405530903	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8729000	-4596.7724617405365	-4522.617418530809	-74.15504320972774	-4522.617418530809	7.071470547521621	38.681550302711884	28.23736788400982	10.444182418702063	7	12	34	25	0	1.4247508151212702	0.3346900449033491	0.3078327828616605	0.8871014636802557	0.004314033073057996	0.4696227712248949	8.481383935866873	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8730000	-4594.919504441193	-4519.491401036426	-75.42810340476598	-4519.491401036426	6.926098897553259	38.334033810654795	27.96855762170044	10.365476188954347	5	12	36	23	0	1.4409934180532786	0.3420369718369567	0.18069267952023357	0.8913998777432921	0.004394925841725805	0.4696227712248949	7.908416797443628	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8731000	-4594.245963839057	-4519.427726533465	-74.81823730559289	-4519.427726533465	6.564184038690715	36.471383956962114	26.00300655577248	10.468377401189624	5	12	36	23	0	1.441487410723685	0.41542872721207336	0.1409080294027969	1.303801943385027	0.004914281193902043	0.4696227712248949	8.908750938822234	0.3283846703760871	0.2097392573203762	0.21307945415488563	0.24879661814865162	
8732000	-4590.395252840809	-4518.536496543505	-71.85875629730405	-4518.536496543505	6.591043589013733	36.65525035943175	25.990768177221085	10.664482182210664	6	12	35	24	0	1.4315428607541287	0.33763098459452795	0.20363418929694135	1.0722910857729715	0.004108574152767546	0.4696227712248949	8.908750938822234	0.3283846703760871	0.20936073469750663	0.21345797677775522	0.24879661814865162	
8733000	-4597.408426107752	-4520.897392452059	-76.51103365569392	-4520.897392452059	6.591682867006083	37.10210324577535	27.71382545438368	9.388277791391666	5	13	37	22	0	1.5008927341130445	0.3312253744703297	0.20292039976578835	0.910060393244759	0.004094197521806665	0.4696227712248949	8.908750938822234	0.3283846703760871	0.20927433088403374	0.2135443805912281	0.24879661814865162	
8734000	-4598.823703919188	-4520.173302111821	-78.65040180736698	-4520.173302111821	6.792436561909412	37.78865740409267	27.7129611388906	10.075696265202073	6	15	38	21	0	1.5010352426446758	0.47971421396444297	0.20290113446981992	1.2555539616757188	0.004739341250999636	0.3706238443477508	7.150881372980862	0.3283846703760871	0.20927433088403374	0.2135443805912281	0.24879661814865162	
8735000	-4593.717884097998	-4519.245217393606	-74.47266670439105	-4519.245217393606	6.5767440140275575	36.664923872659756	24.910301191637558	11.754622681022198	5	12	36	23	0	0.948233407621321	0.45460822533689116	0.2043977426485309	1.1210440470849057	0.004903199682061251	0.3706238443477508	7.150881372980862	0.3251934460728725	0.20927433088403374	0.2135443805912281	0.25198784245186623	
8736000	-4606.178058952678	-4533.206068255459	-72.9719906972183	-4533.206068255459	6.708121275363066	36.78285336477531	28.189294122243165	8.593559242532143	6	15	38	21	0	1.2134072249791588	0.30192597609277794	0.2565724960621125	1.447895554254723	0.004870742285168974	0.22038682236471685	7.150881372980862	0.3251934460728725	0.20927433088403374	0.2135443805912281	0.25198784245186623	
8737000	-4586.559292609773	-4517.618375751091	-68.94091685868287	-4517.618375751091	6.670173429852809	36.63011318444364	28.71736391759441	7.91274926684923	2	12	39	20	0	1.3670524041979937	0.30150440894506414	0.11197755154603066	1.4499200195059283	0.004482816686816464	0.49372622828716883	6.630490326964816	0.3251934460728725	0.20927433088403374	0.2135443805912281	0.25198784245186623	
8738000	-4600.775449017638	-4524.300804976702	-76.47464404093493	-4524.300804976702	6.986904078685167	38.626697014264586	28.49245030477255	10.13424670949204	2	10	37	22	0	1.2660129209180913	0.3523498042589545	0.05340454104610643	1.4375072737319707	0.004461156805052571	0.33425166765841907	6.630490326964816	0.32135546363872075	0.21311231331818545	0.2135443805912281	0.25198784245186623	
8739000	-4585.701777389078	-4514.945026830482	-70.75675055859625	-4514.945026830482	7.068641748930402	39.180171143093645	30.546354893260112	8.633816249833536	1	10	38	21	0	1.7377485844027942	0.3723145606222754	0.037756762266781506	1.0909308193205622	0.004268234247836394	0.33425166765841907	6.630490326964816	0.32135546363872075	0.21311231331818545	0.2135443805912281	0.25198784245186623	
8740000	-4585.165875003289	-4517.429556856861	-67.73631814642805	-4517.429556856861	6.499477734950627	37.20887565492266	28.765062085479492	8.44381356944317	0	10	39	20	0	1.72290609848637	0.33473964459756433	0.029293305730641556	1.1003289666344427	0.004542529426974378	0.33425166765841907	7.080058616104229	0.3421145337837245	0.19235324317318173	0.2135443805912281	0.25198784245186623	
8741000	-4606.174372985322	-4531.396619731027	-74.77775325429513	-4531.396619731027	6.8790528761292995	38.896037465224076	29.525210690215847	9.370826775008226	1	11	39	20	0	1.5927461940317118	0.47965074399190516	0.029168740785296954	1.1950266473893842	0.004326433770373711	0.33425166765841907	7.080058616104229	0.3421145337837245	0.19235324317318173	0.2135443805912281	0.25198784245186623	
8742000	-4601.051617197352	-4531.5992937009505	-69.45232349640145	-4531.5992937009505	6.847753222680895	38.03771530888678	30.140582508032825	7.897132800853967	0	10	39	20	0	1.5898570719448282	0.48545648366204835	0.0127774772571388	1.1971982752308499	0.004620770233767729	0.33425166765841907	7.080058616104229	0.3237493670894573	0.19235324317318173	0.23190954728549526	0.25198784245186623	
