Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrix_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_NewZealand_HongKong	clockRate.c:h3n2_2deme	kappa.s:h3n2_2deme	gammaShape.s:h3n2_2deme	freqParameter.s:h3n2_2deme1	freqParameter.s:h3n2_2deme2	freqParameter.s:h3n2_2deme3	freqParameter.s:h3n2_2deme4
206000	-4601.633682352605	-4527.019763600987	-74.61391875161831	-4527.019763600987	6.473365610195363	35.71259727674941	24.54324796041052	11.169349316338884	2	10	37	22	0	1.3860564714940835	0.5081594759971992	0.059713567244783335	0.5356774065378951	0.004756824611529883	6.964134634100627	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
207000	-4586.3432913656325	-4519.624154811375	-66.7191365542579	-4519.624154811375	6.51624440374952	34.50364634154357	26.444748023126927	8.058898318416663	3	12	38	21	0	1.123033891323506	0.3456681777148616	0.18210762470233946	0.9970945571027025	0.005060786239637404	6.964134634100627	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
208000	-4589.154442034831	-4524.6567025657505	-64.49773946908043	-4524.6567025657505	6.637394976920475	34.85382505175829	26.24630209018529	8.607522961572997	1	11	39	20	0	1.5352317353249618	0.3475085464333681	0.08654807809486519	0.8606766681402939	0.004903605336395127	6.964134634100627	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
209000	-4592.000410693396	-4521.268591963026	-70.73181873037022	-4521.268591963026	6.507531975050499	35.324045228955285	27.334783068172595	7.989262160782686	2	11	38	21	0	1.303978829580107	0.2798522366966366	0.0864180729159629	1.5914543763840172	0.004906625107836842	6.964134634100627	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
210000	-4602.895640033623	-4530.346331000681	-72.54930903294155	-4530.346331000681	6.596479027757867	36.33301516722021	27.806362741742348	8.526652425477867	0	10	39	20	0	1.4089206768995157	0.39842435331009673	0.06378063145428466	0.9020252622300692	0.0043588334729630215	6.906380995104538	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
211000	-4592.463367086377	-4520.6004288588865	-71.86293822749043	-4520.6004288588865	6.814318946598223	37.82675406039005	27.31929495654662	10.507459103843427	0	10	39	20	0	1.0418203765690275	0.4596185136315297	0.024200683015982064	0.6568568341279001	0.004790713589929452	6.906380995104538	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
212000	-4603.5365468762575	-4524.929577641578	-78.60696923467953	-4524.929577641578	6.642421026725892	38.20563005232465	28.197134537245542	10.008495515079108	0	10	39	20	0	1.2669150333296817	0.7721705604600159	0.08212752603770589	0.46529937395849547	0.004903833851716844	6.906380995104538	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
213000	-4603.13254430806	-4528.470408744892	-74.66213556316757	-4528.470408744892	6.587040436382786	36.263136975828864	24.466570412850185	11.79656656297868	3	9	35	24	0	0.9284910649336143	0.4179476228797459	0.0756030687348251	0.573671154066827	0.004461531083435342	6.906380995104538	0.36089855083288913	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
214000	-4595.360909367603	-4528.317645799112	-67.04326356849111	-4528.317645799112	6.6543884443598245	36.47200233076248	25.931142872794634	10.540859457967837	1	8	36	23	0	1.2829159556624121	0.47281007795253693	0.10644678330491478	0.7616110542248742	0.004645042367628782	6.280551698237993	0.3234469348237304	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
215000	-4597.002837071392	-4518.457327100174	-78.54550997121775	-4518.457327100174	6.775871922791975	39.581714830755246	29.144954607122987	10.436760223632255	1	9	37	22	0	1.4646159551242932	0.39458510983478784	0.10004372384519686	0.8084283858172829	0.004290831960576631	6.280551698237993	0.3234469348237304	0.33827296455655614	0.20714964105938005	0.20215364248721432	0.25242375189684974
